question,answer
give me info on where is wat phnom thank you.,it is a hilltop temple that gives the capital its name
could you explain best place for shopping in phnom penh today.,central market and russian market are the best
give me info on where is the riverside immediately.,it is the sisowath quay area along the tonle sap river
looking for how to get around phnom penh if you can.,passapp or grab for tuk tuks is the easiest way
any idea where is phnom penh safe at night specifically.,it is generally safe but watch your belongings
give me details on where is the independence monument specifically.,it is at the intersection of norodom and sihanouk boulevards
looking for where are the best beaches for me.,koh rong and koh rong samloem have the best beaches
i am curious about how to get to koh rong please.,you can take a speed ferry from sihanoukville
info on what to do in kampot please.,visit pepper farms and take a river cruise
please tell me where is bokor mountain if you can.,it is a cool hill station near kampot city
is kep famous for food if you can.,yes kep is famous for fresh blue crab with pepper
search for what is rabbit island today.,koh tonsay is a quiet island near kep
looking for where is otres beach right now.,it is a quieter beach area in sihanoukville
info on is sihanoukville good for islands specifically.,yes it is the main gateway to koh rong and koh rong samloem
tell me something about what is kampot pepper,it is world famous high quality pepper from cambodia
could you explain can i swim in sihanoukville please.,"yes, victory beach and sokha beach are popular spots"
please tell me where can i see dolphins for me.,you can see freshwater dolphins in kratie
search for what to do in mondulkiri thank you.,visit elephant sanctuaries and busra waterfall
info on is mondulkiri cold for me.,it is much cooler than the rest of cambodia
can you tell me where is yeak laom lake specifically.,it is a volcanic lake in rattanakiri province
find what to see in kratie thanks.,the irrawaddy dolphins and kampi rapids
give me details on where is preah vihear temple for me.,it is on a cliff in the north near the thai border
i am curious about is sambor prei kuk old immediately.,yes it is a pre-angkorian site in kampong thom
hi what is battambang known for thank you.,it is famous for the bamboo train and caves
where is the killing caves for me.,they are located on phnom sampeau in battambang
i am curious about can i see bats in battambang?,yes millions of bats fly out of caves at sunset
give me info on what is phnom chi thank you.,it is a mountain for hiking in kampong thom
any idea where where is kapi falls immediately.,it is a scenic spot in mondulkiri
please tell me what currency is used please.,the currency is riel and us dollar
please tell me do people speak english if you can.,many people speak basic english in tourist areas
tell me something about what food should i try for me.,you should try amok and lok lak
i want to know is cambodia safe please.,it is generally safe for tourists
how to travel in cambodia for me.,you can use tuk tuk or taxi
find do i need a visa today.,most tourists need a visa or an e-visa
search for what is the water festival immediately.,bon om touk is a festival with boat racing
tell me when is khmer new year if you can.,it is usually celebrated in mid-april
hey is the water safe to drink today.,it is better to drink bottled or filtered water
info on how to say hello in khmer?,you say sarsday or chum reap suor
looking for how to say thank you right now.,you say orkun in khmer
i am curious about is there grab in cambodia please.,yes grab and passapp are widely used
do you know what is the local beer right now.,angkor beer and cambodia beer are popular
find can i wear shorts in temples specifically.,you should cover your knees and shoulders
i want to know is cambodia expensive,it is very affordable for most travelers
search for what is the rainy season right now.,it runs from may to october
any idea where internet in cambodia?,wifi is common and local sim cards are cheap
hi what is the time zone today.,cambodia is gmt plus seven
do you know where is angkor wat thanks.,angkor wat is in siem reap cambodia
info on what is angkor wat specifically.,it is a famous temple in cambodia
can you explain what to do in siem reap today.,you can visit temples and night market
tell me where is bayon temple for me.,bayon temple is in the center of angkor thom
info on what is ta prohm for me.,it is the jungle temple with giant trees in siem reap
teach me about how much is angkor pass right now.,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
tell me where to watch sunset in siem reap?,phnom bakheng is the most popular spot for sunset
